filename,page_count,char_count,extraction_method
APR112023_01B2203,4,13673,text
APR112023_02B2203,9,29707,text
APR112024_01B2203,8,24756,text
APR122005_01B2203,5,14749,text
APR122005_03B2203,5,14984,text
APR122018_01B2203,2,4730,text
APR122021_01B2203,6,16364,text
APR122021_02B2203,10,32499,text
APR122023_01B2203,7,22845,text
APR132005_01B2203,5,13742,text
APR132005_02B2203,6,16553,text
APR132005_05B2203,5,13752,text
APR132005_06B2203,6,16553,text
APR132017_01B2203,7,20244,text
APR132017_02B2203,6,14431,text
APR132023_01B2203,5,13732,text
APR132023_02B2203,4,13559,text
APR142005_01B2203,6,18085,text
APR142005_02B2203,6,18098,text
APR142005_05B2203,6,18909,text
APR142005_06B2203,6,18506,text
APR142015_01B2203,7,19674,text
APR142015_02B2203,17,51282,text
APR142023_01B2203,4,10786,text
APR152005_03B2203,8,22527,text
APR152013_01B2203,26,80667,text
APR152016_01B2203,2,2855,text
APR152016_02B2203,6,16605,text
APR152019_01B2203,4,11982,text
APR152021_01B2203,5,15277,text
APR152021_02B2203,7,23565,text
APR152021_03B2203,11,39737,text
APR152021_04B2203,6,17382,text
APR152021_05B2203,7,22003,text
APR152024_02B2203,11,36441,text
APR162014_01B2203,3,8101,text
APR162019_01B2203,6,19428,text
APR162019_02B2203,7,22720,text
APR162019_03B2203,8,25219,text
APR162021_01B2203,5,15045,text
APR162021_02B2203,5,13617,text
APR162021_03B2203,12,37439,text
APR162024_01B2203,4,11826,text
APR172013_01B2203,14,41040,text
APR172018_01B2203,5,12589,text
APR172019_01B2203,5,13323,text
APR172019_02B2203,6,16065,text
APR172024_01B2203,3,9849,text
APR172024_02B2203,3,7391,text
APR172024_03B2203,7,21257,text
APR182005_01B2203,8,22596,text
APR182005_02B2203,3,5929,text
APR182005_05B2203,8,22810,text
APR182005_06B2203,3,5929,text
APR182013_01B2203,5,13432,text
APR182016_01B2203,4,10680,text
APR182016_02B2203,14,39525,text
APR182018_01B2203,7,19200,text
APR182018_02B2203,5,13948,text
APR192005_01B2203,6,18405,text
APR192005_03B2203,6,18405,text
APR192013_01B2203,8,21698,text
APR192016_01B2203,9,27319,text
APR202015_01B2203,3,6608,text
APR202016_01B2203,4,9939,text
APR202016_02B2203,6,14021,text
APR212021_01B2203,5,13600,text
APR212021_02B2203,7,22276,text
APR212021_03B2203,7,23601,text
APR222013_01B2203,2,2956,text
APR222019_01B2203,8,24293,text
APR232013_01B2203,3,8219,text
APR232014_01B2203,18,51695,text
APR232014_02B2203,6,14254,text
APR232019_01B2203,3,8832,text
APR232020_01B2203,7,19897,text
APR232020_02B2203,10,32362,text
APR232020_03B2203,9,29552,text
APR232020_04B2203,9,30187,text
APR232020_05B2203,7,19744,text
APR232020_06B2203,6,17672,text
APR232020_07B2203,6,18966,text
APR232020_08B2203,3,7439,text
APR232020_09B2203,11,36405,text
APR232020_10B2203,4,11503,text
APR232020_11B2203,5,15301,text
APR232020_12B2203,7,18200,text
APR232020_13B2203,8,23042,text
APR232020_14B2203,8,26848,text
APR232020_15B2203,6,20553,text
APR232020_16B2203,5,14077,text
APR232020_17B2203,6,16076,text
APR232020_18B2203,5,15812,text
APR232020_19B2203,10,34349,text
APR232020_20B2203,7,22641,text
APR232021_01B2203,4,11272,text
APR242019_01B2203,7,20794,text
APR252016_01B2203,5,13575,text
APR252023_01B2203,8,27810,text
APR252024_01B2203,11,34016,text
APR262005_01B2203,9,25725,text
APR262005_02B2203,7,21871,text
APR262005_05B2203,9,25725,text
APR262005_06B2203,7,21871,text
APR262017_01B2203,6,15182,text
APR262017_02B2203,5,11005,text
APR262017_03B2203,5,12027,text
APR262017_04B2203,3,6698,text
APR262018_01B2203,6,18677,text
APR262018_02B2203,5,13454,text
APR262018_03B2203,2,2957,text
APR262022_01B2203,5,13818,text
APR262024_01B2203,7,20369,text
APR272005_01B2203,9,27592,text
APR272005_02B2203,10,32002,text
APR272005_03B2203,7,18278,text
APR272005_04B2203,8,24631,text
APR272005_09B2203,9,27592,text
APR272005_10B2203,10,32002,text
APR272005_11B2203,7,18278,text
APR272005_12B2203,8,24631,text
APR272015_01B2203,13,41393,text
APR272015_02B2203,13,36885,text
APR272015_03B2203,12,34619,text
APR272015_04B2203,2,3530,text
APR272018_01B2203,5,13042,text
APR272020_01B2203,5,14313,text
APR272020_02B2203,5,14111,text
APR272021_01B2203,8,27423,text
APR282005_01B2203,7,20569,text
APR282005_02B2203,2,2108,text
APR282005_03B2203,7,20271,text
APR282005_07B2203,7,20856,text
APR282005_08B2203,2,2108,text
APR282005_09B2203,7,20682,text
APR282015_01B2203,7,18980,text
APR282020_01B2203,7,21604,text
APR292005_01B2203,11,36728,text
APR292005_03B2203,11,36765,text
APR292013_01B2203,4,11593,text
APR292014_01B2203,15,43832,text
APR292020_01B2203,6,17696,text
APR292020_02B2203,5,16197,text
APR292020_03B2203,6,19432,text
APR292020_04B2203,6,20520,text
APR292020_05B2203,7,22919,text
APR292020_06B2203,7,21447,text
APR292020_07B2203,11,34775,text
APR292021_01B2203,2,3944,text
APR292021_02B2203,5,15942,text
APR292021_03B2203,6,19715,text
APR292022_01B2203,5,12334,text
APR292024_01B2203,4,11071,text
APR302013_01B2203,28,84819,text
APR302013_02B2203,5,12754,text
APR302013_03B2203,2,3848,text
APR302014_01B2203,3,8012,text
APR302014_02B2203,14,41617,text
APR302018_01B2203,5,13784,text
APR302019_01B2203,6,19775,text
APR302019_02B2203,8,21640,text
APR302019_03B2203,6,16487,text
APR302020_01B2203,9,29829,text
APR302021_01B2203,4,11953,text
APR302024_01B2203,7,21825,text
APR302024_02B2203,3,9921,text
AUG012016_01B2203,7,20247,text
AUG012016_02B2203,4,10335,text
AUG012022_01B2203,3,6847,text
AUG012023_01B2203,4,10636,text
AUG022013_01B2203,20,62964,text
AUG022016_01B2203,9,25387,text
AUG022023_01B2203,4,10764,text
AUG022023_02B2203,5,13935,text
AUG022023_03B2203,4,11985,text
AUG022024_01B2203,6,18779,text
AUG032015_01B2203,12,34752,text
AUG032016_01B2203,7,18361,text
AUG032018_01B2203,7,18105,text
AUG032020_01B2203,12,43213,text
AUG032020_02B2203,6,20059,text
AUG032021_01B2203,4,10934,text
AUG042005_01B2203,10,31168,text
AUG042005_03B2203,10,31168,text
AUG042017_01B2203,6,14632,text
AUG042020_01B2203,8,26821,text
AUG042021_01B2203,4,11076,text
AUG042022_01B2203,4,12964,text
AUG042022_02B2203,10,31484,text
AUG042022_03B2203,7,20906,text
AUG042022_04B2203,4,11085,text
AUG052015_01B2203,9,23477,text
AUG052016_01B2203,5,12133,text
AUG052020_01B2203,5,12935,text
AUG052020_02B2203,13,42138,text
AUG052024_01B2203,6,19700,text
AUG062013_01B2203,12,36369,text
AUG062014_01B2203,15,48884,text
AUG062024_01B2203,5,13331,text
