filename,page_count,char_count,extraction_method
Aug042009_03B2203,15,45708,text
Aug042009_04B2203,8,23844,text
Aug042009_05B2203,16,46889,text
Aug042009_06B2203,12,34607,text
Aug042010_01B2203,17,53490,text
Aug042010_02B2203,14,16708,text
Aug042010_03B2203,3,6786,text
Aug042010_04B2203,1,1373,text
Aug042010_05B2203,15,45183,text
Aug042010_06B2203,9,23482,text
Aug052009_01B2203,17,54737,text
Aug052009_02B2203,9,27528,text
Aug052009_03B2203,11,32542,text
Aug052009_04B2203,17,49193,text
Aug052009_05B2203,9,26914,text
Aug052009_06B2203,14,42134,text
Aug052010_01B2203,38,50288,text
Aug062009_01B2203,3,6776,text
Aug062010_01B2203,14,36558,text
Aug062010_02B2203,6,5507,text
Aug062010_03B2203,28,36855,text
Aug072007_01B2203,1,908,text
Aug072012_01B2203,11,28559,text
Aug082008_01B2203,11,31420,text
Aug082012_01B2203,11,32007,text
Aug082012_02B2203,14,42446,text
Aug092007_02B2203,11,34110,text
Aug092007_03B2203,6,14626,text
Aug092007_04B2203,12,35079,text
Aug092007_05B2203,11,31597,text
Aug092012_01B2203,25,79892,text
Aug092012_02B2203,9,25904,text
Aug092012_03B2203,5,11456,text
Aug092012_04B2203,5,9616,text
Aug102009_01B2203,9,26574,text
Aug102012_01B2203,12,34061,text
Aug102012_02B2203,16,47669,text
Aug112008_01B2203,2,1639,text
Aug122010_01B2203,23,70661,text
Aug122010_02B2203,16,44372,text
Aug132008_01B2203,12,35612,text
Aug132009_01B2203,13,40734,text
Aug132009_02B2203,4,6917,text
Aug132010_01B2203,42,59353,text
Aug132010_02B2203,18,51066,text
Aug142006_01B2203,9,25328,text
Aug142006_02B2203,11,29122,text
Aug152012_01B2203,13,38441,text
Aug152012_02B2203,18,52891,text
Aug152012_03B2203,13,39471,text
Aug162006_01B2203,8,23212,text
Aug162006_02B2203,8,19965,text
Aug162006_03B2203,9,26653,text
Aug162006_04B2203,8,23193,text
Aug162006_05B2203,7,17448,text
Aug162006_06B2203,4,7778,text
Aug162006_07B2203,7,18294,text
Aug192010_01B2203,19,53295,text
Aug192010_02B2203,18,47393,text
Aug192010_03B2203,3,5109,text
Aug192010_04B2203,11,30372,text
Aug202010_01B2203,2,3025,text
Aug202010_02B2203,21,63089,text
Aug202012_01B2203,5,10162,text
Aug212012_01B2203,3,5848,text
Aug212012_02B2203,2,4964,text
Aug222008_01B2203,14,42723,text
Aug222012_01B2203,3,6203,text
Aug232007_01B2203,16,53089,text
Aug232012_01B2203,17,51119,text
Aug232012_02B2203,15,43511,text
Aug242010_01B2203,8,17944,text
Aug242012_01B2203,12,35111,text
Aug242012_02B2203,12,34662,text
Aug242012_03B2203,11,32451,text
Aug242012_04B2203,5,11722,text
Aug252009_01B2203,4,8378,text
Aug252009_02B2203,11,31815,text
Aug252009_03B2203,2,3881,text
Aug252009_04B2203,8,22627,text
Aug252009_05B2203,14,42251,text
Aug252009_06B2203,3,5373,text
Aug252009_07B2203,10,29488,text
Aug252009_08B2203,13,37892,text
Aug252010_01B2203,4,4212,text
Aug262009_01B2203,8,21792,text
Aug262009_02B2203,10,29331,text
Aug262009_03B2203,10,30281,text
Aug272007_01B2203,6,14885,text
Aug272008_01B2203,13,40742,text
Aug272010_04B2203,1,1167,text
Aug292007_01B2203,5,9885,text
Aug302007_01B2203,2,2284,text
Aug302007_02B2203,10,29625,text
Aug302007_03B2203,16,50931,text
Aug302007_04B2203,7,17276,text
Aug302012_01B2203,9,21982,text
DEC012014_01B2203,8,21928,text
DEC012015_01B2203,10,31651,text
DEC012020_01B2203,2,5243,text
DEC012020_02B2203,7,23761,text
DEC012022_01B2203,4,11202,text
DEC012023_01B2203,4,12367,text
DEC022005_01B2203,8,25050,text
DEC022005_02B2203,8,23868,text
DEC022005_03B2203,6,18251,text
DEC022005_04B2203,2,2110,text
DEC022005_09B2203,8,25050,text
DEC022005_10B2203,8,23868,text
DEC022005_11B2203,6,18251,text
DEC022005_12B2203,2,2110,text
DEC022024_01B2203,9,29977,text
DEC032021_01B2203,3,6564,text
DEC032024_01B2203,4,10757,text
DEC032024_02B2203,6,18580,text
DEC032024_03B2203,6,17279,text
DEC042013_01B2203,8,24103,text
DEC042019_01B2203,5,14093,text
DEC042019_02B2203,7,22321,text
DEC042019_03B2203,1,1548,text
DEC052014_01B2203,11,32637,text
DEC052014_02B2203,17,52730,text
DEC052019_01B2203,9,31853,text
DEC052024_01B2203,4,12820,text
DEC052024_02B2203,4,12274,text
DEC062013_01B2203,8,19579,text
DEC062016_01B2203,6,15616,text
DEC062023_01B2203,3,9158,text
DEC062024_01B2203,8,28985,text
DEC072023_01B2203,5,13042,text
DEC082023_01B2203,6,15504,text
DEC092013_01B2203,9,29259,text
DEC092013_02B2203,5,13201,text
DEC092015_01B2203,7,19657,text
DEC092021_01B2203,5,15769,text
DEC092022_01B2203,7,22761,text
DEC092024_01B2203,7,18420,text
DEC092024_02B2203,4,10556,text
DEC092024_03B2203,7,20596,text
DEC102018_01B2203,6,17513,text
DEC102019_01B2203,6,16296,text
DEC102019_02B2203,9,27737,text
DEC102019_03B2203,7,20649,text
DEC102024_01B2203,5,12253,text
DEC102024_02B2203,5,15886,text
DEC112013_01B2203,9,27086,text
DEC112015_01B2203,7,19823,text
DEC112017_01B2203,8,21989,text
DEC112018_01B2203,4,9000,text
DEC112018_02B2203,6,16346,text
DEC112019_01B2203,6,19233,text
DEC112023_01B2203,7,18862,text
DEC112023_02B2203,4,11078,text
DEC122013_01B2203,5,12593,text
DEC122019_01B2203,6,15547,text
DEC122019_02B2203,6,19058,text
DEC122019_03B2203,6,15488,text
DEC122022_01B2203,8,25973,text
DEC122023_01B2203,2,3705,text
DEC122023_02B2203,5,14974,text
DEC122024_01B2203,5,13032,text
DEC122024_02B2203,5,14983,text
DEC122024_03B2203,5,11413,text
DEC122024_04B2203,2,4786,text
DEC132005_01B2203,2,2329,text
DEC132005_02B2203,4,7116,text
DEC132005_03B2203,4,7115,text
DEC132005_04B2203,4,7151,text
DEC132005_09B2203,2,2329,text
DEC132005_10B2203,4,7116,text
DEC132005_11B2203,4,7115,text
DEC132005_12B2203,4,7151,text
DEC132016_01B2203,6,15484,text
DEC132017_01B2203,5,13858,text
DEC132022_01B2203,4,11563,text
DEC132023_01B2203,5,14126,text
DEC142005_01B2203,2,2513,text
DEC142005_02B2203,2,2373,text
DEC142005_03B2203,2,2417,text
DEC142005_04B2203,2,2051,text
DEC142005_09B2203,2,2513,text
DEC142005_10B2203,2,2373,text
DEC142005_11B2203,2,2417,text
DEC142005_12B2203,2,2051,text
DEC142017_01B2203,6,14737,text
DEC142017_02B2203,6,14785,text
DEC142023_01B2203,3,9707,text
DEC142023_02B2203,8,25285,text
DEC152014_01B2203,11,32641,text
DEC152014_02B2203,11,32620,text
DEC152014_03B2203,9,26939,text
DEC152014_04B2203,12,36842,text
DEC152014_05B2203,19,58226,text
DEC152014_06B2203,11,33834,text
DEC162005_01B2203,2,2211,text
DEC162005_02B2203,5,14356,text
DEC162005_03B2203,6,15024,text
DEC162005_04B2203,2,2607,text
DEC162005_05B2203,7,19387,text
DEC162005_06B2203,8,24023,text
DEC162005_07B2203,6,17176,text
DEC162005_08B2203,2,2210,text
DEC162005_17B2203,2,2211,text
DEC162005_18B2203,5,14315,text
DEC162005_19B2203,6,15025,text
DEC162005_20B2203,2,2607,text
DEC162005_21B2203,7,19387,text
DEC162005_22B2203,8,24023,text
DEC162005_23B2203,6,17176,text
DEC162005_24B2203,2,2210,text
DEC162013_01B2203,3,7308,text
DEC162015_01B2203,9,27426,text
DEC162015_02B2203,6,14054,text
DEC162020_01B2203,6,19221,text
DEC162020_02B2203,7,22077,text
DEC162021_01B2203,9,28510,text
DEC162024_01B2203,5,11239,text
DEC162024_02B2203,4,12058,text
DEC172014_01B2203,7,19020,text
DEC172024_01B2203,4,12112,text
DEC182019_01B2203,7,19888,text
DEC182019_02B2203,6,16949,text
DEC182019_03B2203,7,21934,text
DEC182020_01B2203,7,22858,text
DEC182024_01B2203,4,10470,text
DEC182024_02B2203,4,10532,text
DEC182024_03B2203,7,20074,text
DEC182024_04B2203,5,14201,text
DEC182024_05B2203,5,13162,text
DEC192005_01B2203,2,2037,text
DEC192005_02B2203,3,4620,text
DEC192005_03B2203,2,2399,text
DEC192005_04B2203,5,13959,text
DEC192005_05B2203,7,20839,text
DEC192005_06B2203,8,26998,text
DEC192005_07B2203,6,16568,text
DEC192005_17B2203,2,2037,text
DEC192005_18B2203,3,4620,text
DEC192005_19B2203,7,16434,text
DEC192005_20B2203,5,14034,text
DEC192005_21B2203,7,20839,text
DEC192005_22B2203,7,20839,text
DEC192005_23B2203,8,26998,text
DEC192005_24B2203,6,16522,text
DEC192017_01B2203,5,12570,text
DEC192017_02B2203,4,9671,text
DEC192017_03B2203,6,15558,text
DEC192018_01B2203,10,28105,text
DEC192019_01B2203,6,19577,text
DEC192019_02B2203,5,15697,text
DEC192022_01B2203,10,30143,text
DEC192023_01B2203,5,15373,text
DEC202005_01B2203,5,11816,text
DEC202005_03B2203,5,11816,text
DEC202018_01B2203,4,9553,text
DEC202018_02B2203,5,11535,text
DEC202019_01B2203,6,17367,text
DEC202023_01B2203,3,9256,text
DEC202024_01B2203,6,17789,text
DEC202024_02B2203,5,16592,text
DEC212005_01B2203,11,38634,text
DEC212005_02B2203,6,17006,text
DEC212005_03B2203,11,35854,text
DEC212005_04B2203,6,15035,text
DEC212005_05B2203,6,17693,text
DEC212005_06B2203,2,2724,text
DEC212005_07B2203,5,12170,text
DEC212005_08B2203,6,14916,text
DEC212005_17B2203,11,38634,text
DEC212005_18B2203,6,17006,text
DEC212005_19B2203,11,35847,text
DEC212005_20B2203,6,15035,text
DEC212005_21B2203,6,17693,text
DEC212005_22B2203,2,2724,text
DEC212005_23B2203,5,12170,text
DEC212005_24B2203,6,14916,text
DEC212015_01B2203,2,2697,text
DEC212015_02B2203,7,20598,text
DEC212016_01B2203,6,17438,text
DEC212017_01B2203,7,17732,text
DEC212023_01B2203,5,15847,text
DEC222005_01B2203,5,15994,text
DEC222005_02B2203,1,938,text
DEC222005_03B2203,6,19271,text
DEC222005_04B2203,4,11304,text
DEC222005_05B2203,8,28382,text
DEC222005_11B2203,5,15994,text
DEC222005_12B2203,1,938,text
DEC222005_13B2203,6,19267,text
DEC222005_14B2203,4,11304,text
DEC222005_15B2203,8,28382,text
DEC222017_01B2203,7,19355,text
DEC222017_02B2203,5,14410,text
DEC222021_01B2203,3,8115,text
DEC232015_01B2203,6,15760,text
DEC232016_01B2203,1,1862,text
DEC232019_01B2203,4,12604,text
DEC232022_01B2203,7,22764,text
DEC232024_01B2203,8,24680,text
DEC232024_02B2203,7,23865,text
DEC262017_01B2203,1,1558,text
DEC262024_01B2203,3,8017,text
DEC272005_01B2203,2,2427,text
DEC272005_02B2203,7,19885,text
DEC272005_03B2203,4,8355,text
DEC272005_04B2203,9,29294,text
DEC272005_05B2203,5,13948,text
DEC272005_06B2203,6,14982,text
DEC272005_13B2203,2,2427,text
DEC272005_14B2203,7,19932,text
DEC272005_15B2203,4,8355,text
DEC272005_16B2203,9,29294,text
DEC272005_17B2203,5,13948,text
DEC272005_18B2203,6,14981,text
DEC272017_01B2203,1,1545,text
DEC272019_01B2203,7,21661,text
DEC282020_01B2203,4,10357,text
DEC282020_02B2203,6,15115,text
DEC282020_03B2203,7,21317,text
DEC282020_04B2203,5,12696,text
DEC282022_01B2203,7,21400,text
DEC292014_01B2203,8,23420,text
DEC292014_02B2203,11,31790,text
DEC292014_03B2203,13,37850,text
DEC292017_01B2203,1,1513,text
DEC292021_01B2203,4,10209,text
DEC292023_01B2203,5,16709,text
DEC302015_01B2203,3,6826,text
DEC302015_02B2203,5,11780,text
DEC302019_01B2203,6,18050,text
DEC302020_01B2203,6,15794,text
DEC312020_01B2203,4,10053,text
DEC312020_02B2203,8,24469,text
DEC312020_03B2203,3,8830,text
DEC312020_04B2203,7,24522,text
DEC312020_05B2203,8,24196,text
DEC312020_06B2203,9,29030,text
DEC312020_07B2203,9,31643,text
DEC312020_08B2203,11,37153,text
DEC312020_09B2203,12,41255,text
Dec012010_01B2203,2,3560,text
Dec012010_02B2203,2,4743,text
Dec022008_01B2203,1,1158,text
Dec022009_01B2203,19,55962,text
Dec022010_01B2203,19,51037,text
Dec022010_03B2203,2,3380,text
Dec022010_04B2203,2,4667,text
Dec022010_05B2203,3,4995,text
Dec022011_01B2203,21,61903,text
Dec022011_02B2203,26,74394,text
Dec032007_01B2203,7,20147,text
Dec032007_02B2203,13,40247,text
Dec032009_02B2203,9,25178,text
Dec032009_03B2203,9,25691,text
Dec032009_04B2203,2,4107,text
Dec032009_05B2203,3,5789,text
Dec032009_06B2203,16,46713,text
Dec032009_07B2203,10,27346,text
Dec032009_08B2203,8,19328,text
Dec042007_01B2203,3,4666,text
Dec042007_02B2203,10,27540,text
Dec042007_03B2203,1,1069,text
Dec042009_01B2203,13,36246,text
Dec042009_02B2203,11,28590,text
Dec042009_03B2203,2,3118,text
Dec042009_04B2203,10,27947,text
Dec042009_05B2203,9,26139,text
Dec042009_06B2203,9,25266,text
Dec042012_01B2203,4,8709,text
Dec042012_03B2203,10,28558,text
Dec052011_01B2203,3,6098,text
Dec052012_01B2203,4,9353,text
Dec052012_02B2203,5,12601,text
Dec052012_03B2203,11,31156,text
Dec052012_04B2203,12,34766,text
Dec052012_05B2203,8,21395,text
Dec062010_01B2203,3,6134,text
Dec072009_01B2203,2,3740,text
Dec072009_02B2203,4,8796,text
Dec072010_01B2203,3,5518,text
Dec072010_02B2203,40,107823,text
Dec072010_03B2203,2,4397,text
Dec072011_01B2203,14,38899,text
Dec072011_02B2203,20,62891,text
Dec072012_01B2203,6,15288,text
Dec082010_01B2203,3,6710,text
Dec082011_01B2203,25,72154,text
Dec082012_01B2203,2,4781,text
Dec082012_02B2203,2,4523,text
Dec102012_01B2203,4,8902,text
Dec112012_01B2203,2,2850,text
Dec122006_01B2203,9,23010,text
Dec122007_01B2203,1,681,text
Dec132011_01B2203,3,6273,text
Dec132011_03B2203,14,39504,text
Dec142010_01B2203,19,51913,text
Dec142010_02B2203,18,51444,text
Dec142011_01B2203,2,4371,text
Dec152006_01B2203,6,15587,text
Dec152006_02B2203,6,18216,text
Dec152006_03B2203,4,9097,text
Dec152006_04B2203,6,17638,text
Dec152010_01B2203,3,7376,text
Dec152011_01B2203,10,32636,text
Dec152011_02B2203,3,6954,text
Dec162010_01B2203,7,18430,text
Dec162010_02B2203,6,15460,text
Dec162011_01B2203,3,5645,text
Dec172007_01B2203,7,18974,text
Dec172007_02B2203,8,23126,text
Dec172010_01B2203,17,49601,text
Dec172010_02B2203,19,56652,text
Dec172012_01B2203,4,10695,text
Dec172012_02B2203,5,13984,text
Dec172012_03B2203,5,13539,text
Dec172012_04B2203,9,26515,text
Dec182006_01B2203,6,14735,text
Dec182006_02B2203,5,11774,text
Dec182007_01B2203,9,25722,text
Dec182007_02B2203,5,12162,text
Dec182012_01B2203,3,7170,text
Dec182012_02B2203,14,41101,text
Dec182012_03B2203,3,7351,text
Dec182012_04B2203,16,45716,text
Dec182012_05B2203,3,6735,text
Dec192008_01B2203,14,43415,text
Dec192011_01B2203,4,8217,text
Dec192011_02B2203,2,4725,text
Dec192012_01B2203,19,58408,text
Dec192012_02B2203,19,57817,text
Dec202010_02B2203,36,98605,text
Dec202012_01B2203,2,3081,text
Dec202012_02B2203,3,6467,text
Dec212006_01B2203,9,24496,text
Dec212006_02B2203,2,2115,text
Dec212011_01B2203,21,64188,text
Dec212012_01B2203,12,36523,text
Dec212012_02B2203,10,26866,text
Dec212012_03B2203,9,25585,text
Dec212012_04B2203,11,33181,text
Dec212012_05B2203,11,28042,text
Dec222006_01B2203,1,1038,text
Dec222010_01B2203,14,39102,text
Dec232011_01B2203,20,61602,text
Dec232011_02B2203,12,34293,text
Dec232011_03B2203,7,16184,text
Dec242009_01B2203,14,37719,text
Dec272006_01B2203,6,17500,text
Dec272007_01B2203,8,21297,text
Dec272007_02B2203,2,3591,text
Dec282006_01B2203,12,37749,text
Dec282010_01B2203,10,29509,text
Dec282010_02B2203,2,3591,text
Dec282010_03B2203,15,42351,text
Dec282010_04B2203,21,64106,text
Dec292010_01B2203,1,1150,text
Dec302008_01B2203,11,33500,text
Dec302008_02B2203,13,37802,text
FEB012013_01B2203,7,17419,text
FEB012018_01B2203,9,25634,text
FEB012021_01B2203,5,17059,text
FEB012021_02B2203,10,31116,text
FEB012023_01B2203,3,8641,text
FEB012023_02B2203,6,18585,text
FEB012023_03B2203,4,10029,text
FEB012023_04B2203,3,8722,text
FEB022017_01B2203,6,16677,text
FEB022018_01B2203,9,28120,text
FEB022021_01B2203,3,6273,text
FEB022021_02B2203,4,10395,text
FEB022021_03B2203,6,15781,text
FEB022023_01B2203,4,12112,text
FEB032006_08B2203,5,12346,text
FEB032006_09B2203,2,2916,text
FEB032021_01B2203,5,15473,text
FEB032021_02B2203,6,19585,text
FEB032021_03B2203,8,25414,text
FEB032021_04B2203,11,33719,text
FEB032023_01B2203,2,4076,text
FEB032023_02B2203,2,6424,text
FEB032023_03B2203,5,15489,text
FEB032023_04B2203,4,12627,text
FEB042005_01B2203,7,20550,text
FEB042005_02B2203,11,33757,text
FEB042005_05B2203,7,20550,text
FEB042005_06B2203,11,33757,text
FEB042013_01B2203,12,33824,text
FEB042019_01B2203,3,7829,text
FEB042019_02B2203,6,16172,text
FEB042019_03B2203,6,18923,text
FEB042019_04B2203,6,17407,text
FEB042020_01B2203,10,33603,text
FEB042020_02B2203,7,20839,text
FEB052018_01B2203,6,14088,text
FEB052019_01B2203,6,18472,text
FEB052020_01B2203,8,22449,text
FEB052020_02B2203,6,18494,text
FEB052020_03B2203,13,44716,text
FEB052021_01B2203,4,10350,text
FEB052024_01B2203,5,13263,text
FEB052024_02B2203,2,5439,text
FEB052024_03B2203,9,27261,text
FEB062013_01B2203,12,36865,text
FEB062014_01B2203,13,36846,text
FEB062015_01B2203,7,20687,text
FEB062015_02B2203,14,43417,text
FEB062020_01B2203,2,2948,text
FEB062020_02B2203,2,4695,text
FEB062023_01B2203,8,24895,text
FEB062024_01B2203,3,7387,text
FEB072014_01B2203,18,53315,text
FEB072018_01B2203,6,16115,text
FEB072019_01B2203,5,13064,text
FEB072019_02B2203,5,15515,text
FEB072020_01B2203,7,21163,text
FEB072020_02B2203,5,13819,text
FEB072023_01B2203,5,14465,text
FEB072023_02B2203,6,16618,text
FEB072024_01B2203,2,3317,text
FEB072024_02B2203,3,8455,text
FEB082013_01B2203,14,43729,text
FEB082016_01B2203,4,8852,text
FEB082016_02B2203,6,16464,text
FEB082017_01B2203,9,27619,text
FEB082023_01B2203,8,26032,text
FEB082023_02B2203,6,19100,text
FEB082024_01B2203,6,19264,text
FEB082024_02B2203,4,10229,text
FEB082024_03B2203,7,22212,text
FEB092016_01B2203,13,39558,text
FEB092016_02B2203,5,11081,text
FEB092016_03B2203,1,2148,text
FEB092022_01B2203,3,9866,text
FEB092023_01B2203,5,16801,text
FEB092023_02B2203,6,17579,text
FEB092024_01B2203,3,8521,text
FEB102015_01B2203,11,33215,text
FEB102020_01B2203,6,16499,text
FEB102023_01B2203,2,4715,text
FEB112013_01B2203,9,27456,text
FEB112015_01B2203,9,26738,text
FEB112020_01B2203,8,25768,text
FEB112020_02B2203,8,26070,text
FEB112020_03B2203,2,5134,text
FEB112022_01B2203,6,18101,text
FEB122014_01B2203,11,33125,text
FEB122015_01B2203,18,53486,text
FEB122018_01B2203,5,11310,text
FEB122020_01B2203,3,5798,text
FEB122020_02B2203,3,7458,text
FEB122020_03B2203,5,13929,text
FEB122020_04B2203,5,13587,text
FEB132013_01B2203,3,6084,text
FEB132013_02B2203,16,48801,text
FEB132013_03B2203,15,49983,text
FEB132018_01B2203,4,10232,text
FEB132018_02B2203,5,13790,text
FEB132018_03B2203,6,14133,text
FEB132019_01B2203,4,9727,text
FEB132020_01B2203,8,22106,text
FEB132020_02B2203,10,31858,text
FEB132020_03B2203,7,21182,text
FEB132023_01B2203,7,20354,text
FEB132023_02B2203,7,19776,text
FEB132023_03B2203,2,5294,text
FEB132024_01B2203,6,18745,text
FEB132024_02B2203,3,9432,text
FEB132024_03B2203,1,2485,text
FEB142005_01B2203,8,23021,text
FEB142005_03B2203,8,23021,text
FEB142023_01B2203,6,18779,text
FEB142023_02B2203,5,16858,text
FEB142023_03B2203,7,23190,text
FEB142023_04B2203,4,12812,text
FEB142024_01B2203,3,9059,text
FEB152018_01B2203,7,19838,text
FEB152019_01B2203,8,21448,text
FEB152019_02B2203,3,6959,text
FEB152019_03B2203,8,22139,text
FEB152022_01B2203,6,21095,text
FEB152023_01B2203,5,13882,text
FEB152023_02B2203,2,5797,text
FEB152024_01B2203,7,21033,text
FEB162022_01B2203,7,21927,text
FEB162022_02B2203,5,16781,text
FEB162023_01B2203,5,14704,text
FEB162023_02B2203,9,30531,text
FEB162023_03B2203,2,4637,text
FEB172005_03B2203,9,28925,text
FEB172017_01B2203,3,7026,text
FEB172021_01B2203,4,11894,text
FEB172021_02B2203,7,22822,text
FEB182014_01B2203,3,7669,text
FEB182015_01B2203,9,26635,text
FEB182015_02B2203,4,8545,text
FEB182022_01B2203,9,28494,text
FEB192013_01B2203,9,27206,text
FEB192013_02B2203,8,22805,text
FEB192016_01B2203,4,13120,text
FEB192016_02B2203,6,17200,text
FEB192016_03B2203,8,23848,text
FEB192019_01B2203,7,18673,text
FEB192019_02B2203,7,20557,text
FEB192019_03B2203,3,8200,text
FEB202013_01B2203,4,10017,text
FEB202020_01B2203,7,21919,text
FEB202020_02B2203,5,12807,text
FEB202024_01B2203,6,19548,text
FEB202024_02B2203,5,13818,text
FEB202024_03B2203,3,7096,text
FEB212014_01B2101,6,15367,text
FEB212019_01B2203,5,15499,text
FEB212023_01B2203,3,7255,text
FEB212023_02B2203,6,18634,text
FEB212023_03B2203,4,9929,text
FEB212024_01B2203,2,6371,text
FEB212024_02B2203,5,14933,text
FEB222005_01B2203,7,18690,text
FEB222005_03B2203,7,18690,text
FEB222013_01B2203,6,13891,text
FEB222017_01B2203,6,16616,text
FEB222023_01B2203,3,8835,text
FEB222024_01B2203,4,10927,text
FEB232015_01B2203,11,32789,text
FEB232017_01B2203,5,12930,text
FEB232023_01B2203,7,22755,text
FEB242005_01B2203,5,13614,text
FEB242005_03B2203,5,13614,text
FEB242016_01B2203,9,25354,text
FEB242020_01B2203,6,17492,text
FEB242020_02B2203,11,35447,text
FEB242022_01B2203,7,22755,text
FEB242022_02B2203,6,19341,text
FEB242023_01B2203,2,3579,text
FEB242023_02B2203,9,29590,text
FEB252013_01B2203,13,36784,text
FEB252015_01B2203,8,22668,text
FEB252020_01B2203,5,15886,text
FEB252020_02B2203,9,27293,text
FEB252021_01B2203,5,16613,text
FEB252021_02B2203,7,21874,text
FEB252022_01B2203,5,16043,text
FEB252022_02B2203,5,15316,text
FEB262013_01B2203,30,85286,text
FEB262019_01B2203,5,11773,text
FEB262020_01B2203,5,14335,text
FEB262020_02B2203,6,16487,text
FEB262021_01B2203,5,15318,text
FEB262021_02B2203,6,15818,text
FEB262021_03B2203,7,21579,text
FEB262021_04B2203,5,13967,text
FEB262021_05B2203,6,18331,text
FEB262021_06B2203,6,16327,text
FEB262021_07B2203,7,21045,text
FEB262021_08B2203,7,20645,text
FEB272013_01B2203,15,46568,text
FEB272013_02B2203,8,20381,text
FEB272013_03B2203,18,50762,text
FEB272013_04B2203,10,28818,text
FEB272015_01B2203,12,37085,text
FEB272017_01B2203,6,17369,text
FEB272018_01B2203,6,15867,text
FEB272018_02B2203,5,13564,text
FEB272018_03B2203,5,13961,text
FEB272018_04B2203,4,9022,text
FEB272018_05B2203,6,15009,text
FEB272018_06B2203,6,16077,text
FEB272019_01B2203,7,19785,text
FEB272020_01B2203,8,25648,text
FEB272024_01B2203,6,15622,text
FEB282013_01B2203,33,97567,text
FEB282013_02B2203,2,2810,text
FEB282017_01B2203,5,12083,text
FEB282017_02B2203,3,8390,text
FEB282017_03B2203,3,7882,text
FEB282018_01B2203,4,8445,text
FEB282018_02B2203,5,14019,text
FEB282019_01B2203,5,13500,text
FEB282023_01B2203,5,16584,text
FEB282023_02B2203,5,13023,text
FEB282023_03B2203,3,7169,text
FEB282023_04B2203,7,21848,text
FEB282023_05B2203,5,16828,text
FEB292024_01B2203,8,25745,text
Feb012010_01B2203,5,9742,text
Feb012010_02B2203,10,28438,text
Feb012010_03B2203,3,5908,text
Feb012010_04B2203,11,32276,text
Feb012010_05B2203,14,41364,text
Feb012010_06B2203,11,31808,text
Feb012010_07B2203,13,40296,text
Feb022009_01B2203,2,3547,text
Feb022009_02B2203,2,2401,text
Feb022009_03B2203,2,2850,text
Feb022009_04B2203,2,3087,text
Feb022009_05B2203,2,2652,text
Feb022009_06B2203,2,3041,text
Feb022009_07B2203,2,2864,text
Feb022009_08B2203,2,2772,text
Feb022009_10B2203,10,31573,text
Feb022009_11B2203,14,38440,text
Feb022009_12B2203,4,7801,text
Feb032009_01B2203,5,13027,text
Feb052007_01B2203,8,22063,text
Feb052007_02B2203,8,22349,text
Feb052010_01B2203,11,32897,text
Feb062009_01B2203,2,1809,text
Feb072007_01B2203,10,26811,text
Feb072007_02B2203,10,27122,text
Feb072011_01B2203,35,86551,text
Feb082011_01B2203,21,59845,text
Feb082011_02B2203,24,66068,text
Feb082011_04B2203,31,89188,text
Feb082012_02B2203,11,30780,text
Feb092009_01B2203,8,21885,text
Feb092009_02B2203,8,22093,text
Feb092009_03B2203,10,29260,text
Feb092010_01B2203,14,38547,text
Feb092011_01B2203,19,51029,text
Feb092012_01B2203,19,53104,text
Feb102009_01B2203,10,34769,text
Feb102011_01B2203,4,7495,text
Feb102012_01B2203,6,12342,text
Feb102012_03B2203,6,13769,text
Feb112009_01B2203,5,12548,text
Feb112009_02B2203,11,29857,text
Feb112009_03B2203,11,30656,text
Feb122009_01B2203,5,12567,text
Feb122010_01B2203,12,35571,text
Feb142011_01B2203,17,48696,text
Feb152012_01B2203,3,6202,text
Feb162006_01B2203,13,37541,text
Feb162007_01B2203,5,14469,text
Feb162007_02B2203,8,23407,text
Feb162011_02B2203,19,56187,text
Feb162011_03B2203,15,40240,text
Feb162011_04B2203,15,39496,text
Feb162011_05B2203,6,14359,text
Feb162012_02B2203,3,5075,text
Feb172009_01B2203,5,12791,text
Feb172009_02B2203,10,25024,text
Feb172009_03B2203,8,21665,text
Feb172009_04B2203,9,27298,text
Feb172010_01B2203,4,10494,text
Feb172011_01B2203,23,63620,text
Feb172011_02B2203,25,63827,text
Feb172011_03B2203,14,36239,text
Feb172011_04B2203,17,48009,text
Feb192008_01B2203,6,17913,text
Feb192008_02B2203,7,15600,text
Feb192009_01B2203,11,30133,text
Feb202008_01B2203,2,2300,text
Feb202008_02B2203,3,6352,text
Feb202008_03B2203,6,13698,text
Feb202008_04B2203,8,25618,text
Feb202008_05B2203,12,39347,text
Feb202010_01B2203,13,37385,text
Feb202010_02B2203,19,56015,text
Feb212006_01B2203,4,8071,text
Feb212006_02B2203,5,11805,text
Feb212007_01B2203,6,13699,text
Feb212007_02B2203,11,30581,text
Feb212012_01B2203,25,75057,text
Feb222006_01B2203,8,23448,text
Feb232009_01B2203,12,34104,text
Feb232009_02B2203,2,3898,text
Feb232009_03B2203,11,30164,text
Feb232010_01B2203,13,37253,text
Feb232010_02B2203,11,33374,text
Feb232012_01B2203,25,73656,text
Feb232012_02B2203,25,64785,text
Feb242006_01B2203,6,16232,text
Feb242012_01B2203,3,5266,text
Feb252008_01B2203,5,9587,text
Feb252008_02B2203,3,6600,text
Feb252010_01B2203,11,34807,text
Feb252010_02B2203,18,52120,text
